# t,x,y,z,vx,vy,vz,ax,ay,az
0.500000,-7.960162,-9.679993,2.718061,-0.006502,0.509959,0.000000,-0.026008,-0.000332,0.000000
0.510000,-7.960228,-9.674894,2.718061,-0.006895,0.519954,0.000000,-0.027038,-0.000359,0.000000
0.520000,-7.960299,-9.669694,2.718061,-0.007303,0.529950,0.000000,-0.028087,-0.000387,0.000000
0.530000,-7.960373,-9.664395,2.718061,-0.007727,0.539945,0.000000,-0.029157,-0.000417,0.000000
0.540000,-7.960452,-9.658995,2.718061,-0.008167,0.549939,0.000000,-0.030247,-0.000449,0.000000
0.550000,-7.960535,-9.653496,2.718061,-0.008624,0.559934,0.000000,-0.031356,-0.000483,0.000000
0.560000,-7.960623,-9.647896,2.718061,-0.009097,0.569927,0.000000,-0.032486,-0.000519,0.000000
0.570000,-7.960715,-9.642197,2.718061,-0.009587,0.579921,0.000000,-0.033635,-0.000556,0.000000
0.580000,-7.960813,-9.636398,2.718061,-0.010094,0.589914,0.000000,-0.034805,-0.000596,0.000000
0.590000,-7.960916,-9.630499,2.718061,-0.010619,0.599906,0.000000,-0.035994,-0.000637,0.000000
0.600000,-7.961024,-9.624500,2.718061,-0.011162,0.609898,0.000000,-0.037204,-0.000681,0.000000
0.610000,-7.961137,-9.618401,2.718061,-0.011724,0.619889,0.000000,-0.038433,-0.000727,0.000000
0.620000,-7.961256,-9.612202,2.718061,-0.012303,0.629880,0.000000,-0.039682,-0.000775,0.000000
0.630000,-7.961381,-9.605903,2.718061,-0.012902,0.639870,0.000000,-0.040952,-0.000826,0.000000
0.640000,-7.961512,-9.599505,2.718061,-0.013519,0.649859,0.000000,-0.042241,-0.000879,0.000000
0.650000,-7.961650,-9.593006,2.718061,-0.014156,0.659848,0.000000,-0.043550,-0.000934,0.000000
0.660000,-7.961793,-9.586408,2.718061,-0.014812,0.669836,0.000000,-0.044879,-0.000992,0.000000
0.670000,-7.961944,-9.579709,2.718061,-0.015489,0.679824,0.000000,-0.046228,-0.001053,0.000000
0.680000,-7.962101,-9.572911,2.718061,-0.016186,0.689810,0.000000,-0.047597,-0.001117,0.000000
0.690000,-7.962265,-9.566013,2.718061,-0.016903,0.699796,0.000000,-0.048986,-0.001183,0.000000
0.700000,-7.962437,-9.559015,2.718061,-0.017642,0.709781,0.000000,-0.050394,-0.001253,0.000000
0.710000,-7.962616,-9.551917,2.718061,-0.018401,0.719765,0.000000,-0.051823,-0.001325,0.000000
0.720000,-7.962802,-9.544720,2.718061,-0.019182,0.729748,0.000000,-0.053272,-0.001400,0.000000
0.730000,-7.962997,-9.537422,2.718061,-0.019985,0.739730,0.000000,-0.054740,-0.001479,0.000000
0.740000,-7.963199,-9.530025,2.718061,-0.020810,0.749711,0.000000,-0.056228,-0.001561,0.000000
0.750000,-7.963410,-9.522528,2.718061,-0.021657,0.759691,0.000000,-0.057737,-0.001646,0.000000
0.760000,-7.963630,-9.514931,2.718061,-0.022527,0.769670,0.000000,-0.059265,-0.001735,0.000000
0.770000,-7.963858,-9.507235,2.718061,-0.023420,0.779648,0.000000,-0.060813,-0.001827,0.000000
0.780000,-7.964095,-9.499438,2.718061,-0.024336,0.789625,0.000000,-0.062380,-0.001923,0.000000
0.790000,-7.964342,-9.491542,2.718061,-0.025276,0.799601,0.000000,-0.063968,-0.002022,0.000000
0.800000,-7.964597,-9.483546,2.718061,-0.026239,0.809575,0.000000,-0.065576,-0.002125,0.000000
0.810000,-7.964863,-9.475451,2.718061,-0.027227,0.819548,0.000000,-0.067203,-0.002233,0.000000
0.820000,-7.965139,-9.467255,2.718061,-0.028239,0.829519,0.000000,-0.068850,-0.002344,0.000000
0.830000,-7.965425,-9.458960,2.718061,-0.029276,0.839490,0.000000,-0.070517,-0.002459,0.000000
0.840000,-7.965721,-9.450565,2.718061,-0.030339,0.849458,0.000000,-0.072204,-0.002579,0.000000
0.850000,-7.966028,-9.442071,2.718061,-0.031426,0.859426,0.000000,-0.073911,-0.002703,0.000000
0.860000,-7.966346,-9.433477,2.718061,-0.032539,0.869391,0.000000,-0.075637,-0.002831,0.000000
0.870000,-7.966675,-9.424783,2.718061,-0.033678,0.879355,0.000000,-0.077383,-0.002964,0.000000
0.880000,-7.967016,-9.415990,2.718061,-0.034843,0.889318,0.000000,-0.079149,-0.003101,0.000000
0.890000,-7.967368,-9.407097,2.718061,-0.036035,0.899278,0.000000,-0.080935,-0.003243,0.000000
0.900000,-7.967732,-9.398104,2.718061,-0.037254,0.909237,0.000000,-0.082741,-0.003390,0.000000
0.910000,-7.968109,-9.389012,2.718061,-0.038500,0.919194,0.000000,-0.084566,-0.003542,0.000000
0.920000,-7.968498,-9.379820,2.718061,-0.039773,0.929149,0.000000,-0.086411,-0.003699,0.000000
0.930000,-7.968900,-9.370529,2.718061,-0.041074,0.939102,0.000000,-0.088276,-0.003861,0.000000
0.940000,-7.969316,-9.361138,2.718061,-0.042403,0.949053,0.000000,-0.090160,-0.004028,0.000000
0.950000,-7.969744,-9.351648,2.718061,-0.043761,0.959002,0.000000,-0.092064,-0.004201,0.000000
0.960000,-7.970186,-9.342058,2.718061,-0.045147,0.968949,0.000000,-0.093988,-0.004379,0.000000
0.970000,-7.970642,-9.332369,2.718061,-0.046562,0.978893,0.000000,-0.095932,-0.004563,0.000000
0.980000,-7.971113,-9.322580,2.718061,-0.048006,0.988835,0.000000,-0.097895,-0.004753,0.000000
0.990000,-7.971598,-9.312692,2.718061,-0.049480,0.998775,0.000000,-0.099878,-0.004948,0.000000
1.000000,-7.972098,-9.302704,2.718061,-0.050983,1.008712,0.000000,-0.101880,-0.005149,0.000000
1.010000,-7.972613,-9.292617,2.718061,-0.052517,1.018647,0.000000,-0.103902,-0.005357,0.000000
1.020000,-7.973143,-9.282431,2.718061,-0.054081,1.028579,0.000000,-0.105944,-0.005570,0.000000
1.030000,-7.973689,-9.272146,2.718061,-0.055676,1.038509,0.000000,-0.108005,-0.005790,0.000000
1.040000,-7.974251,-9.261761,2.718061,-0.057302,1.048435,0.000000,-0.110086,-0.006017,0.000000
1.050000,-7.974830,-9.251277,2.718061,-0.058959,1.058359,0.000000,-0.112186,-0.006250,0.000000
1.060000,-7.975425,-9.240694,2.718061,-0.060647,1.068280,0.000000,-0.114306,-0.006489,0.000000
1.070000,-7.976037,-9.230011,2.718061,-0.062368,1.078198,0.000000,-0.116445,-0.006736,0.000000
1.080000,-7.976667,-9.219229,2.718061,-0.064120,1.088112,0.000000,-0.118604,-0.006989,0.000000
1.090000,-7.977314,-9.208349,2.718061,-0.065906,1.098024,0.000000,-0.120783,-0.007250,0.000000
1.100000,-7.977979,-9.197369,2.718061,-0.067723,1.107932,0.000000,-0.122980,-0.007517,0.000000
1.110000,-7.978662,-9.186290,2.718061,-0.069574,1.117837,0.000000,-0.125198,-0.007792,0.000000
1.120000,-7.979364,-9.175112,2.718061,-0.071459,1.127738,0.000000,-0.127434,-0.008075,0.000000
1.130000,-7.980085,-9.163835,2.718061,-0.073377,1.137636,0.000000,-0.129691,-0.008365,0.000000
1.140000,-7.980825,-9.152459,2.718061,-0.075329,1.147530,0.000000,-0.131966,-0.008663,0.000000
1.150000,-7.981585,-9.140984,2.718061,-0.077315,1.157421,0.000000,-0.134261,-0.008968,0.000000
1.160000,-7.982365,-9.129410,2.718061,-0.079335,1.167307,0.000000,-0.136575,-0.009282,0.000000
1.170000,-7.983165,-9.117738,2.718061,-0.081391,1.177190,0.000000,-0.138908,-0.009604,0.000000
1.180000,-7.983986,-9.105966,2.718061,-0.083481,1.187068,0.000000,-0.141261,-0.009934,0.000000
1.190000,-7.984828,-9.094096,2.718061,-0.085607,1.196943,0.000000,-0.143633,-0.010273,0.000000
1.200000,-7.985691,-9.082127,2.718061,-0.087769,1.206813,0.000000,-0.146024,-0.010620,0.000000
1.210000,-7.986576,-9.070060,2.718061,-0.089966,1.216678,0.000000,-0.148435,-0.010976,0.000000
1.220000,-7.987483,-9.057893,2.718061,-0.092200,1.226539,0.000000,-0.150864,-0.011341,0.000000
1.230000,-7.988413,-9.045629,2.718061,-0.094471,1.236396,0.000000,-0.153313,-0.011714,0.000000
1.240000,-7.989365,-9.033265,2.718061,-0.096778,1.246248,0.000000,-0.155781,-0.012097,0.000000
1.250000,-7.990341,-9.020803,2.718061,-0.099122,1.256095,0.000000,-0.158268,-0.012489,0.000000
1.260000,-7.991340,-9.008243,2.718061,-0.101504,1.265937,0.000000,-0.160774,-0.012891,0.000000
1.270000,-7.992363,-8.995584,2.718061,-0.103924,1.275774,0.000000,-0.163299,-0.013302,0.000000
1.280000,-7.993411,-8.982827,2.718061,-0.106381,1.285606,0.000000,-0.165843,-0.013723,0.000000
1.290000,-7.994483,-8.969972,2.718061,-0.108877,1.295433,0.000000,-0.168406,-0.014154,0.000000
1.300000,-7.995580,-8.957018,2.718061,-0.111412,1.305254,0.000000,-0.170988,-0.014595,0.000000
1.310000,-7.996702,-8.943966,2.718061,-0.113985,1.315069,0.000000,-0.173589,-0.015046,0.000000
1.320000,-7.997851,-8.930816,2.718061,-0.116598,1.324879,0.000000,-0.176209,-0.015507,0.000000
1.330000,-7.999026,-8.917568,2.718061,-0.119249,1.334683,0.000000,-0.178848,-0.015979,0.000000
1.340000,-8.000227,-8.904222,2.718061,-0.121941,1.344481,0.000000,-0.181505,-0.016462,0.000000
1.350000,-8.001456,-8.890778,2.718061,-0.124673,1.354274,0.000000,-0.184181,-0.016955,0.000000
1.360000,-8.002712,-8.877237,2.718061,-0.127445,1.364059,0.000000,-0.186876,-0.017460,0.000000
1.370000,-8.003995,-8.863597,2.718061,-0.130257,1.373839,0.000000,-0.189590,-0.017975,0.000000
1.380000,-8.005308,-8.849859,2.718061,-0.133111,1.383612,0.000000,-0.192322,-0.018502,0.000000
1.390000,-8.006648,-8.836024,2.718061,-0.136005,1.393378,0.000000,-0.195073,-0.019041,0.000000
1.400000,-8.008018,-8.822091,2.718061,-0.138941,1.403138,0.000000,-0.197842,-0.019591,0.000000
1.410000,-8.009417,-8.808061,2.718061,-0.141919,1.412890,0.000000,-0.200630,-0.020152,0.000000
1.420000,-8.010847,-8.793933,2.718061,-0.144939,1.422636,0.000000,-0.203437,-0.020726,0.000000
1.430000,-8.012306,-8.779708,2.718061,-0.148001,1.432374,0.000000,-0.206262,-0.021312,0.000000
1.440000,-8.013796,-8.765385,2.718061,-0.151105,1.442105,0.000000,-0.209105,-0.021910,0.000000
1.450000,-8.015318,-8.750965,2.718061,-0.154253,1.451829,0.000000,-0.211967,-0.022521,0.000000
1.460000,-8.016871,-8.736448,2.718061,-0.157443,1.461544,0.000000,-0.214847,-0.023144,0.000000
1.470000,-8.018456,-8.721834,2.718061,-0.160677,1.471252,0.000000,-0.217745,-0.023780,0.000000
1.480000,-8.020074,-8.707122,2.718061,-0.163955,1.480952,0.000000,-0.220662,-0.024429,0.000000
1.490000,-8.021724,-8.692314,2.718061,-0.167276,1.490644,0.000000,-0.223597,-0.025091,0.000000
1.500000,-8.023408,-8.677409,2.718061,-0.170642,1.500327,0.000000,-0.226549,-0.025767,0.000000
1.510000,-8.025126,-8.662407,2.718061,-0.174053,1.510002,0.000000,-0.229520,-0.026456,0.000000
1.520000,-8.026878,-8.647308,2.718061,-0.177508,1.519668,0.000000,-0.232509,-0.027159,0.000000
1.530000,-8.028665,-8.632113,2.718061,-0.181008,1.529325,0.000000,-0.235516,-0.027875,0.000000
