# t,x,y,z,vx,vy,vz,ax,ay,az
0.510000,-0.000020,0.044200,0.000000,-0.000153,0.173333,0.000000,-0.000601,-0.000001,0.000000
0.520000,-0.000021,0.045933,0.000000,-0.000162,0.176667,0.000000,-0.000624,-0.000001,0.000000
0.530000,-0.000023,0.047700,0.000000,-0.000172,0.180000,0.000000,-0.000648,-0.000001,0.000000
0.540000,-0.000025,0.049500,0.000000,-0.000181,0.183333,0.000000,-0.000672,-0.000001,0.000000
0.550000,-0.000026,0.051333,0.000000,-0.000192,0.186667,0.000000,-0.000697,-0.000001,0.000000
0.560000,-0.000028,0.053200,0.000000,-0.000202,0.190000,0.000000,-0.000722,-0.000001,0.000000
0.570000,-0.000030,0.055100,0.000000,-0.000213,0.193333,0.000000,-0.000748,-0.000001,0.000000
0.580000,-0.000033,0.057033,0.000000,-0.000224,0.196667,0.000000,-0.000774,-0.000001,0.000000
0.590000,-0.000035,0.059000,0.000000,-0.000236,0.200000,0.000000,-0.000800,-0.000001,0.000000
0.600000,-0.000037,0.061000,0.000000,-0.000248,0.203333,0.000000,-0.000827,-0.000001,0.000000
0.610000,-0.000040,0.063033,0.000000,-0.000261,0.206667,0.000000,-0.000854,-0.000001,0.000000
0.620000,-0.000042,0.065100,0.000000,-0.000273,0.210000,0.000000,-0.000882,-0.000001,0.000000
0.630000,-0.000045,0.067200,0.000000,-0.000287,0.213333,0.000000,-0.000910,-0.000001,0.000000
0.640000,-0.000048,0.069333,0.000000,-0.000300,0.216666,0.000000,-0.000939,-0.000001,0.000000
0.650000,-0.000051,0.071500,0.000000,-0.000315,0.220000,0.000000,-0.000968,-0.000001,0.000000
0.660000,-0.000054,0.073700,0.000000,-0.000329,0.223333,0.000000,-0.000998,-0.000001,0.000000
0.670000,-0.000058,0.075933,0.000000,-0.000344,0.226666,0.000000,-0.001028,-0.000002,0.000000
0.680000,-0.000061,0.078200,0.000000,-0.000360,0.230000,0.000000,-0.001058,-0.000002,0.000000
0.690000,-0.000065,0.080500,0.000000,-0.000376,0.233333,0.000000,-0.001089,-0.000002,0.000000
0.700000,-0.000069,0.082833,0.000000,-0.000392,0.236666,0.000000,-0.001120,-0.000002,0.000000
0.710000,-0.000073,0.085200,0.000000,-0.000409,0.240000,0.000000,-0.001152,-0.000002,0.000000
0.720000,-0.000077,0.087600,0.000000,-0.000426,0.243333,0.000000,-0.001184,-0.000002,0.000000
0.730000,-0.000081,0.090033,0.000000,-0.000444,0.246666,0.000000,-0.001217,-0.000002,0.000000
0.740000,-0.000086,0.092500,0.000000,-0.000462,0.250000,0.000000,-0.001250,-0.000002,0.000000
0.750000,-0.000090,0.095000,0.000000,-0.000481,0.253333,0.000000,-0.001284,-0.000002,0.000000
0.760000,-0.000095,0.097533,0.000000,-0.000501,0.256666,0.000000,-0.001318,-0.000003,0.000000
0.770000,-0.000100,0.100100,0.000000,-0.000521,0.259999,0.000000,-0.001352,-0.000003,0.000000
0.780000,-0.000105,0.102700,0.000000,-0.000541,0.263333,0.000000,-0.001387,-0.000003,0.000000
0.790000,-0.000111,0.105333,0.000000,-0.000562,0.266666,0.000000,-0.001422,-0.000003,0.000000
0.800000,-0.000117,0.108000,0.000000,-0.000583,0.269999,0.000000,-0.001458,-0.000003,0.000000
0.810000,-0.000123,0.110700,0.000000,-0.000605,0.273333,0.000000,-0.001494,-0.000003,0.000000
0.820000,-0.000129,0.113433,0.000000,-0.000628,0.276666,0.000000,-0.001531,-0.000003,0.000000
0.830000,-0.000135,0.116200,0.000000,-0.000651,0.279999,0.000000,-0.001568,-0.000004,0.000000
0.840000,-0.000142,0.119000,0.000000,-0.000674,0.283333,0.000000,-0.001606,-0.000004,0.000000
0.850000,-0.000148,0.121833,0.000000,-0.000699,0.286666,0.000000,-0.001644,-0.000004,0.000000
0.860000,-0.000156,0.124700,0.000000,-0.000723,0.289999,0.000000,-0.001682,-0.000004,0.000000
0.870000,-0.000163,0.127600,0.000000,-0.000749,0.293332,0.000000,-0.001721,-0.000004,0.000000
0.880000,-0.000170,0.130533,0.000000,-0.000774,0.296666,0.000000,-0.001760,-0.000005,0.000000
0.890000,-0.000178,0.133500,0.000000,-0.000801,0.299999,0.000000,-0.001800,-0.000005,0.000000
0.900000,-0.000186,0.136500,0.000000,-0.000828,0.303332,0.000000,-0.001840,-0.000005,0.000000
0.910000,-0.000195,0.139533,0.000000,-0.000856,0.306665,0.000000,-0.001881,-0.000005,0.000000
0.920000,-0.000203,0.142600,0.000000,-0.000884,0.309999,0.000000,-0.001922,-0.000005,0.000000
0.930000,-0.000212,0.145700,0.000000,-0.000913,0.313332,0.000000,-0.001964,-0.000006,0.000000
0.940000,-0.000222,0.148833,0.000000,-0.000943,0.316665,0.000000,-0.002006,-0.000006,0.000000
0.950000,-0.000231,0.152000,0.000000,-0.000973,0.319999,0.000000,-0.002048,-0.000006,0.000000
0.960000,-0.000241,0.155200,0.000000,-0.001004,0.323332,0.000000,-0.002091,-0.000006,0.000000
0.970000,-0.000251,0.158433,0.000000,-0.001035,0.326665,0.000000,-0.002134,-0.000007,0.000000
