Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.54458,0,0,0,0,0.802304,-0.409141,0.0713531,-0.00430515,0,0,0,0,-0.172375,0.0514015,-0.00207786,-0.000367973,0,0,0,0,2.17747,-1.28237,0.272528,-0.0204909,0,0,0,0,0,0,0,0
2.72449,8.97031,-0.229019,-3.36125,-0.261917,-1.83376,2.0128,-0.638022,0.06668,-5.15745,-2.22076,0.653159,0.130373,0.200686,-0.256105,0.0817407,-0.00845549,22.6542,6.19287,-2.41815,-0.718647,0.548888,-0.172833,0.0405885,-0.00456724,0,0,0,0,0,0,0,0
1.61133,-7.42847,-1.96702,2.77779,-0.310153,-0.499045,1.15061,-0.774903,0.162793,-7.10164,-0.663419,-0.234899,0.0627636,1.4857,-1.60581,0.70712,-0.114509,22.8526,-2.71716,0.348818,0.0431441,1.35509,-1.87699,0.811823,-0.118612,0,0,0,0,0,0,0,0
2.97823,-4.52097,4.44216,0.41925,-0.0808891,0.523427,-0.487849,0.140909,-0.0135053,-6.79831,1.86139,1.41391,0.0944408,0.0735615,-0.257081,0.0862354,-0.00858184,19.1709,-3.46886,-1.8255,-0.0150774,0.0378887,0.202836,-0.0734851,0.007404,0,0,0,0,0,0,0,0
2.6835,7.42532,0.316976,-1.48398,0.141238,0.0512752,0.0579012,-0.0276551,0.0031946,1.67414,-1.24453,-2.19841,0.0978311,0.382006,-0.107787,0.0150477,-0.00121961,6.86452,1.90685,3.34875,-0.00919999,0.329903,-0.738771,0.269735,-0.0301114,0,0,0,0,0,0,0,0
2.68756,3.90928,-0.359822,0.881584,-0.0289579,0.465203,-0.617517,0.212898,-0.0235113,-6.39885,0.0266015,2.40616,0.0384942,0.722869,-0.872888,0.284203,-0.0302213,20.7732,0.132691,-3.4147,-0.0711022,0.381448,-0.0377216,-0.0112432,0.00183992,0,0,0,0,0,0,0,0
2.4828,2.84919,-4.1216,-1.68571,0.0935272,-1.21263,1.54304,-0.563686,0.0672185,3.61189,1.60156,-1.97963,-0.0830114,-0.437219,0.581157,-0.203045,0.0233766,7.32342,-4.58873,1.83959,0.299509,-2.08722,1.97542,-0.681391,0.0805621,0,0,0,0,0,0,0,0
2.24877,-9.79029,-0.695836,2.20353,0.0244561,-0.240191,0.0680276,-0.0194205,0.00324071,-1.63618,-2.71974,0.758161,0.337932,-0.682431,0.869625,-0.368907,0.050653,6.15602,4.01026,0.437281,-0.0846559,-0.185269,0.237365,-0.0900079,0.0111173,0,0,0,0,0,0,0,0
2.30376,-3.7331,3.59085,-0.719178,-0.21233,-0.0708078,0.069676,-0.00708793,-0.000962503,-0.493928,4.53268,0.886348,-0.390711,-0.0849966,-0.253057,0.143586,-0.020151,16.9283,5.62281,0.137236,-0.26847,-0.241591,-0.158969,0.124335,-0.0190362,0,0,0,0,0,0,0,0
2.54656,-0.737852,-0.520358,-0.228685,0.150946,-0.173778,0.172493,-0.0636575,0.00778463,5.58527,-2.58336,-2.25422,0.641348,-1.46653,1.75639,-0.661443,0.0807533,22.2383,-3.73498,-2.25616,0.70537,-1.07139,1.43107,-0.567318,0.071187,0,0,0,0,0,0,0,0
