Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.27608,0,0,0,0,-1.24034,1.26963,-0.435255,0.0513432,0,0,0,0,0.338244,-0.335673,0.110548,-0.0124606,0,0,0,0,5.12154,-4.61743,1.50972,-0.174744,0,0,0,0,0,0,0,0
2.31041,0,2.31452,1.79515,0.06504,1.69125,-2.12771,0.792671,-0.0979341,0,-0.700379,-0.547434,0.0554576,-0.532758,0.847203,-0.344572,0.044599,10,5.20864,-1.65429,-0.689714,-0.664501,0.846406,-0.2775,0.0305157,0,0,0,0,0,0,0,0
2.62824,10,0.780295,-2.59175,-0.0315901,-1.04656,1.13972,-0.363673,0.0384405,0,3.4572,1.64239,-0.157943,0.210805,-0.454853,0.171109,-0.0195992,10,-2.7954,0.250178,0.335559,0.332831,-0.240697,0.052171,-0.00388429,0,0,0,0,0,0,0,0
2.30951,0,-2.54067,1.64239,-0.157943,0.160444,-0.190551,0.060231,-0.00608107,10,-0.861015,-2.59175,0.0365355,-0.467162,0.757931,-0.283232,0.0337631,10,2.51276,0.103109,-0.335559,1.0238,-1.35823,0.543804,-0.0702638,0,0,0,0,0,0,0,0
2.28295,0,0.603702,-0.477665,-0.0554576,-0.00109632,0.133366,-0.0680482,0.00979039,0,-3.24637,1.79515,-0.013008,2.03526,-2.37558,0.897673,-0.113996,10,-5.3914,-1.65429,0.689714,-1.85693,2.62731,-1.13298,0.156669,0,0,0,0,0,0,0,0
