# t,x,y,z,vx,vy,vz,ax,ay,az
0.510000,-21.555566,4.507859,1.002486,-0.027578,1.039634,0.000000,-0.108122,-0.002868,0.000000
0.520000,-21.555847,4.518255,1.002486,-0.029210,1.059597,0.000000,-0.112317,-0.003096,0.000000
0.530000,-21.556145,4.528851,1.002486,-0.030905,1.079558,0.000000,-0.116592,-0.003338,0.000000
0.540000,-21.556460,4.539646,1.002486,-0.032665,1.099515,0.000000,-0.120947,-0.003593,0.000000
0.550000,-21.556792,4.550641,1.002486,-0.034491,1.119469,0.000000,-0.125381,-0.003863,0.000000
0.560000,-21.557144,4.561836,1.002486,-0.036383,1.139419,0.000000,-0.129894,-0.004148,0.000000
0.570000,-21.557514,4.573230,1.002486,-0.038343,1.159366,0.000000,-0.134486,-0.004448,0.000000
0.580000,-21.557904,4.584823,1.002486,-0.040372,1.179309,0.000000,-0.139158,-0.004764,0.000000
0.590000,-21.558315,4.596616,1.002486,-0.042471,1.199248,0.000000,-0.143910,-0.005097,0.000000
0.600000,-21.558747,4.608608,1.002486,-0.044642,1.219183,0.000000,-0.148740,-0.005446,0.000000
0.610000,-21.559200,4.620800,1.002486,-0.046886,1.239113,0.000000,-0.153650,-0.005814,0.000000
0.620000,-21.559677,4.633191,1.002486,-0.049203,1.259039,0.000000,-0.158639,-0.006200,0.000000
0.630000,-21.560177,4.645781,1.002486,-0.051596,1.278960,0.000000,-0.163707,-0.006604,0.000000
0.640000,-21.560701,4.658570,1.002486,-0.054064,1.298875,0.000000,-0.168854,-0.007028,0.000000
0.650000,-21.561250,4.671558,1.002486,-0.056611,1.318786,0.000000,-0.174080,-0.007473,0.000000
0.660000,-21.561825,4.684746,1.002486,-0.059235,1.338690,0.000000,-0.179384,-0.007938,0.000000
0.670000,-21.562426,4.698132,1.002486,-0.061940,1.358589,0.000000,-0.184768,-0.008424,0.000000
0.680000,-21.563055,4.711718,1.002486,-0.064726,1.378481,0.000000,-0.190230,-0.008932,0.000000
0.690000,-21.563712,4.725502,1.002486,-0.067594,1.398367,0.000000,-0.195771,-0.009463,0.000000
