Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.28893,-1.08529,0,0,0,0.845419,-0.450822,0.0840588,-0.00541878,-9.79912,0,0,0,0.380564,-0.17643,0.0300585,-0.00181953,5.95507,0,0,0,-0.0877947,0.0497806,-0.00963993,0.000638756,0,0,0,0,0,0,0,0
4.77493,9.2744,-0.0873134,-0.862144,0.0360275,-0.505527,0.256665,-0.0442459,0.00260669,1.44955,4.06102,-0.0784794,-0.044995,-0.0268865,-0.0127398,0.00500179,-0.000405119,5.54205,0.40667,0.122911,0.00499095,0.0437319,-0.0210852,0.00346905,-0.000197572,0,0,0,0,0,0,0,0
4.51354,-9.47045,-1.5726,0.790111,-0.0124288,0.497429,-0.285307,0.0544545,-0.00351015,4.90895,-3.70636,-0.386114,0.0566613,-0.255174,0.16926,-0.0351527,0.00238986,11.1604,1.43473,-0.0266367,-0.00846502,-0.040983,0.0140756,-0.00164892,6.2872e-05,0,0,0,0,0,0,0,0
